player_id,player,position,team_name,player_game_count,pass_grade,offense_grade_passing_file,pass_attempts,aimed_passes,completions,accuracy_percent,avg_depth_of_target_x,avg_time_to_throw,big_time_throws,turnover_worthy_plays,sacks_x,scrambles,rec_grade,offense_grade_receiving_file,targets,receptions,yards_x,yards_per_reception,drops,drop_rate,avg_depth_of_target_y,yards_after_catch,rush_grade,offense_grade_rushing_file,rush_attempts,yards_y,yards_after_contact,breakaway_yards,first_downs,fumbles,rush_elusive_mtf,avoided_tackles,def_grade,coverage_grade,pass_rush_grade,run_defense_grade,tackle_grade,tackles,assists,stops,sacks_y,hits,hurries,interceptions,pass_break_ups,missed_tackles,forced_fumbles,pass_grade_pct,rec_grade_pct,rush_grade_pct,def_grade_pct,coverage_grade_pct,pass_rush_grade_pct,run_defense_grade_pct,tackle_grade_pct,role_bucket,class_year,player_name,stars,industry_rating,rank_natl,rank_pos,rank_state,nil_value_usd,profile_url,source,best_score,score_gap,match_status,is_5_star,is_4_star,pff_def_or_off,recruiting_pct,performance_pct,perf_minus_recruit
176213,DJ Waller Jr.,CB,KENTUCKY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,50.3,,61.2,73.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.3,9.4,,43.1,66.5,DB,2023.0,DJ Waller Jr.,,87.35,,97.0,27.0,0.0,https://n.rivals.com/content/prospects/2023/dj-waller-291229,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,58.1,9.3,-48.8
176215,Semaj Bridgeman,LB,MICH STATE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,64.9,59.1,62.1,54.4,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,53.8,73.3,32.1,38.2,24.6,LB,2023.0,Semaj Bridgeman,,90.33369565217392,,38.0,7.0,0.0,https://n.rivals.com/content/prospects/2023/semaj-bridgeman-259670,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,78.7,53.8,-24.9
176217,Breeon Ishmail,ED,PURDUE,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,70.9,51.7,65.1,50.5,17.0,4.0,12.0,1.0,2.0,8.0,0.0,0.0,6.0,0.0,,,,21.5,87.3,1.9,55.1,21.6,OTHER,2023.0,Breeon Ishmail,,84.725,,116.0,80.0,0.0,https://n.rivals.com/content/prospects/2023/breeon-ishmail-270212,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,37.7,21.5,-16.2
176221,Ty Benefield,S,BOISE ST,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,65.4,60.0,64.8,53.8,80.0,23.0,30.0,0.0,2.0,1.0,2.0,3.0,26.0,1.0,,,,58.5,61.6,51.2,54.8,27.4,DB,2023.0,Ty Benefield,,83.7,,120.0,115.0,0.0,https://n.rivals.com/content/athletes/ty-benefield-301009?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,29.0,58.5,29.5
176234,Catrell White,CB,AKRON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6,58.9,,66.5,78.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,50.8,28.1,,63.5,85.1,DB,2023.0,Catrell White,,77.02272727272727,,213.0,19.0,0.0,https://n.rivals.com/content/prospects/2023/catrell-white-276218,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,0.1,50.8,50.7
176259,Nigel Glover,LB,NWESTERN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,74.8,,60.0,77.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,93.6,92.6,,28.1,77.2,LB,2023.0,Nigel Glover,,90.34375,239.0,24.0,7.0,0.0,https://n.rivals.com/content/prospects/2023/nigel-glover-279696,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,78.8,93.6,14.8
176285,Chase Martin,LB,BOISE ST,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,61.4,59.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,40.2,60.5,32.1,,,LB,2023.0,Chase Martin,,85.475,,91.0,82.0,0.0,https://n.rivals.com/content/athletes/chase-martin-299586?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,44.1,40.2,-3.9
176329,Troy Bowles,LB,MICHIGAN,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6,62.1,70.2,52.3,86.2,20.0,9.0,5.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,,,,38.0,62.9,80.5,9.5,96.6,LB,2023.0,Troy Bowles,,94.54565217391306,227.0,23.0,46.0,0.0,https://n.rivals.com/content/prospects/2023/troy-bowles-268533,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,94.3,38.0,-56.3
176350,Kody Jackson,S,LA LAFAYET,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,73.0,53.6,41.3,31.4,10.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,,,,41.1,83.3,7.8,2.0,6.5,DB,2023.0,Kody Jackson,,81.88636363636364,,165.0,74.0,0.0,https://n.rivals.com/content/athletes/kody-jackson-300850?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,15.1,41.1,26.0
176366,Lance Williams,ED,LA LAFAYET,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,58.3,54.3,60.3,69.7,7.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,19.3,25.0,7.3,34.5,58.5,OTHER,2023.0,Lance Williams,,84.75,,128.0,41.0,0.0,https://n.rivals.com/content/prospects/2023/lance-williams-268282,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,38.1,19.3,-18.8
